index,date,profit,match
1,2021-17-03 10:05:00,50,Tomic B. - Bourgue M.
2,2021-17-03 13:05:00,107,Sonego L - Karatsev A.
3,2021-17-03 14:05:00,127,Olivieria G - Martin A
4,2021-17-03 15:15:00,171,Bedene A - Nishikori K
5,2021-17-03 15:45:00,221,Fucsovics M - Lajovic D
6,2021-17-03 17:00:00,249,Wang Xin - Kuznetsova S
7,2021-17-03 17:16:00,274,Fritz T - Rublev A
8,2021-17-03 20:05:00,174,Ostapenko J - Christian J. A.
9,2021-18-03 10:10:00,284,Siniakova K - Gasparyan M
10,2021-18-03 12:00:00,320,Kasatkina D - Sasnovich A
11,2021-18-03 14:55:00,386,Maden Y - Ofner S
12,2021-18-03 15:10:00,286,Gasanova A - Pavlyuchenkova A
13,2021-18-03 15:45:00,386,Harris G - Nishikori K
14,2021-18-03 16:10:00,404,Jarry N - Alvarez N
15,2021-18-03 18:35:00,424,Rakhimova K - Kudermetova V
16,2021-18-03 21:05:00,454,Li A - Zidansek T
17,2021-19-03 02:20:00,490,Tsitsipas S - Auger-Aliassime F
18,2021-19-03 19:10:00,530,Li A - Zheng S
19,2021-20-03 04:40:00,546,Tsitsipas S - Musetti L
